gender, company_type, wfh_setup_available, designation, resource_allocation, mental_fatigue_score, tenure_months     , fatigue_resource_ratio, is_senior, high_workload, burnout_target
     1,            0,                   0,           2,                 3.0,                  3.8, 27.036793692509853,     0.95              ,         0,             0,              0
     0,            0,                   1,           1,                 2.0,                  5.0, 25.03285151116951 ,     1.6666666666666667,         0,             0,              0
     1,            1,                   1,           2,                 4.0,                  5.8, 33.73850197109067 ,     1.16              ,         0,             0,              0
     0,            0,                   1,           1,                 1.0,                  2.6, 25.919842312746386,     1.3               ,         0,             0,              0
     1,            0,                   0,           3,                 7.0,                  6.9, 29.27069645203679 ,     0.8625            ,         1,             1,              1
     0,            1,                   1,           2,                 4.0,                  3.6, 25.164257555847566,     0.72              ,         0,             0,              0
     1,            0,                   0,           3,                 6.0,                  7.9, 35.972404730617605,     1.1285714285714286,         1,             1,              1
     1,            0,                   1,           2,                 4.0,                  4.4, 26.018396846254927,     0.8800000000000001,         0,             0,              0
     1,            0,                   0,           3,                 6.0,                  5.9, 24.14586070959264 ,     0.8428571428571429,         1,             1,              1
     1,            1,                   0,           3,                 6.0,                  5.9, 33.77135348226018 ,     0.8428571428571429,         1,             1,              1
     0,            1,                   1,           2,                 3.0,                  5.3, 33.54139290407359 ,     1.325             ,         0,             0,              0
     0,            0,                   1,           0,                 1.0,                  1.8, 31.6688567674113  ,     0.9               ,         0,             0,              0
     0,            0,                   1,           2,                 5.0,                  5.9, 35.38107752956636 ,     0.9833333333333334,         0,             0,              0
     1,            1,                   0,           1,                 3.0,                  5.9, 34.26412614980289 ,     1.475             ,         0,             0,              0
     0,            1,                   1,           1,                 3.0,                  5.8, 31.603153745072273,     1.45              ,         0,             0,              1
     1,            0,                   1,           3,                 5.0,                  4.7, 34.92115637319316 ,     0.7833333333333333,         1,             0,              0
     0,            0,                   1,           1,                 2.0,                  5.9, 33.50854139290407 ,     1.9666666666666668,         0,             0,              0
